	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000075	26	0	0	0	0	15	5	0	0	0	0	0	19	0	0	0	0	8	0	202	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	265	0	1	48	0	2405	0	0	0	0	0	4	2	0	2	0	0	0	0	75	0	0	0	0	0	0	0	0	48
Otu000205	1	34	3	12	3	7	0	16	6	1	0	2	4	8	3	2	2	1	0	44	6	0	5	2	4	3	0	0	7	9	13	5	19	0	157	3	0	0	6	63	7	1	0	9	22	109	2	0	4	19	0	2303	0	7	0	6	0	16	0	7	10	5	26	16	14	0	7	6	7	36
Otu001011	0	0	0	0	0	0	68	0	0	0	13	6	0	3	0	30	2	6	0	448	184	0	0	0	0	0	0	1	4	0	0	726	692	0	0	0	168	57	0	2	29	0	0	6	0	0	0	2	0	0	0	0	0	1	2	18	0	0	0	0	133	0	88	2	0	0	1	10	44	0
Otu000022	4	317	22	34	34	28	0	34	27	0	41	2	9	5	99	5	2	20	36	120	7	33	66	8	47	32	13	20	5	1	0	11	27	43	21	20	13	8	8	7	35	53	28	31	2	236	14	6	9	4	21	7	3	61	1	44	50	11	150	63	78	16	108	131	88	21	46	3	0	161
Otu000037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	2505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu000065	2	0	0	53	0	109	0	0	3	0	0	44	0	2	0	0	0	0	0	2	1	65	1	0	1134	0	0	17	0	6	10	0	2	0	0	0	0	0	73	0	0	0	0	0	35	147	85	0	7	2	0	0	0	0	0	0	0	0	39	0	148	0	9	0	0	0	0	153	205	57
Otu000027	13	382	27	4	138	13	3	0	8	0	103	107	0	0	3	2	0	0	0	315	15	15	1	0	2	0	2	1	0	472	2	1	28	5	1	0	0	3	21	1	0	0	4	3	17	2	2	0	23	7	0	0	0	504	2	0	0	5	44	0	21	0	6	0	1	1	5	14	5	17
Otu000043	0	1	0	6	1	69	0	0	0	0	0	4	4	4	6	5	0	0	4	103	22	4	48	0	0	0	2	3	6	0	3	4	13	3	0	1	69	2	0	2	10	0	8	2	3	12	0	1	0	34	0	5	0	13	98	0	29	25	4	0	6	11	35	1677	0	0	4	0	0	2
Otu000042	1	810	11	11	15	6	6	0	7	0	5	56	10	21	29	18	0	0	0	27	2	8	51	1	4	9	0	0	5	14	24	5	9	0	62	5	16	3	12	5	14	21	1	6	6	74	11	1	9	63	32	39	4	76	2	4	0	87	6	3	5	2	26	30	3	10	84	141	0	11
Otu000036	2	26	20	10	130	8	11	24	27	3	53	3	16	18	58	89	3	1	6	68	10	8	384	5	9	60	0	7	34	16	10	7	13	8	9	8	30	7	14	36	7	33	7	3	27	42	9	5	16	11	9	5	4	89	0	2	1	28	5	33	28	9	35	94	3	16	203	15	0	31
