	KMV_362	KMV_364	KMV_370	KMV_372	KMV_373	KMV_375	KMV_377	KMV_380	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_401	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_415	KMV_416	KMV_417	KMV_418	KMV_421	KMV_424	KMV_425	KMV_428	KMV_429	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_456	KMV_457
m_192	0.461971109	0.511298892	0.260158448	0.541159357	1.131319877	0.21991375	0.23513155	0.068468369	0.763382169	0.340921823	0.43161606	1.774184554	0.271317677	0.594762661	2.05760222	0.348285199	0.50629642	1.001219519	1.703614868	0.444118325	0.534185016	0.119125728	0.243212607	1.071787377	0.378719548	0.77322374	0.685850545	0.828382689	0.560199787	0.424931516	0.313830058	0.427201691	0.554217451	0.635933184	0.48566528	0.347329652	1.621025251	0.537450387	-0.063230878	0.212856106	0.718470621	0.55058943	1.243466686	0.645938656	1.067993455	0.437082271	0.289897827	0.107184552
m_209	-0.919078248	0.412890211	-0.776887226	-0.925997705	-0.425213514	0.411943494	-0.39063556	-0.559564247	-2.120428965	-0.541525947	-1.984176486	-1.17582416	0.004072048	0.375934548	-1.10028827	-0.40071387	-0.511101428	-0.940873218	-0.793328354	-0.133850008	-0.190236156	-0.767624299	-0.654100702	-0.056608129	-2.081074941	-0.701403267	-0.670866548	-0.635605059	-0.923064948	-0.057052468	-0.104516869	-0.496179994	-1.055032643	-0.811562378	-0.599204674	-0.677896339	-1.253181868	-0.891314108	-0.852155463	-0.755630579	-1.127720502	0.022659066	-0.985334961	-0.250098753	-0.99622268	-1.362379092	-0.080344222	0.120821417
m_211	0.500931279	0.733524111	0.636851693	0.671150031	1.034306145	1.090543009	0.82709814	0.871373978	1.303989799	0.546737704	1.079507266	0.232057612	0.827097506	1.181624651	0.091250121	0.753298601	0.805480635	0.688197431	0.159077875	0.499266422	0.754175608	0.713303214	0.696425145	0.162720795	0.790752597	0.393635875	1.297863157	0.694789861	0.274607522	0.586128767	0.607199597	0.598472772	-0.134766328	0.933025598	0.824144576	0.728979437	0.404499903	0.772303692	-0.520542218	1.127752782	-0.629689445	0.853989974	1.002129639	1.018344496	-0.815720041	-0.085328613	0.584158566	1.00913773
m_212	-0.105262313	-0.531882004	-0.211650858	-0.770810181	0.056670293	-2.228043747	-2.229776128	-1.701431419	-0.121636919	-0.215325946	-0.422599264	-2.144097451	-0.226027714	-0.255686859	0.251722972	-0.447972072	-2.202403551	-2.171987181	-0.741769672	-2.146816498	-0.033818875	-1.395057964	0.085040829	0.084007259	-0.742316739	0.083287622	0.068984618	-0.270833395	-0.430222895	-2.154051679	-2.137635871	-2.168282284	-2.212763133	-2.115286422	-0.537196511	-2.200286803	0.162229157	-2.101204001	-2.16082102	0.213562251	-0.899713963	-2.114934306	0.148179549	-0.073853565	-2.378000361	-1.486845802	-0.282452533	-2.214864232
m_213	-0.358500516	-0.132722626	-0.702710466	-0.49386997	-0.442264177	0.016978633	-0.114585749	-0.449496457	0.286539637	-0.244459557	-0.778910429	-0.890331701	0.106216613	0.171626525	-0.860607914	-0.3842073	-0.257831033	-0.403918424	-0.740641493	-0.114632846	-0.189032472	-0.768028585	-0.296248492	-1.300051985	-0.297335857	-0.310881169	-1.334077233	-1.186041565	-1.009743234	-0.891556699	-0.197717766	-0.115368707	-0.594325797	-0.647364927	-0.281831677	-0.546784807	-2.385138348	-0.561982827	-0.759392126	0.174562418	-0.606175007	-0.064996364	-1.211633847	-0.309842407	-1.010839426	-0.737069152	0.181261017	0.082731368
m_229	1.334306288	1.12112227	1.290466347	1.864476097	1.363594074	1.585856341	1.083146592	1.016528335	1.07849299	1.253240571	1.178040913	0.807159636	0.983697066	0.720322398	1.614277462	0.958131763	1.278986374	2.418334477	1.112828671	0.981768783	1.296847386	1.274250517	1.60390957	1.845781108	1.30726772	1.611597832	0.818205073	1.701096727	1.769397882	-0.110029035	1.188899881	1.062527288	0.993770093	1.024551069	1.622228129	0.919576144	1.640990121	1.302964601	1.432693856	1.782093167	1.671380639	0.783048437	2.121974666	0.539093928	1.259464943	1.092844761	1.236867546	1.042502945
m_231	1.913918039	1.270273665	1.560981466	1.159031498	1.799190575	1.534882269	1.342530687	1.787262002	1.813477334	1.737820098	1.716588934	1.868272364	2.025224559	1.574795546	1.668103533	2.203697993	1.588169818	1.122561392	1.99732359	1.320951444	1.587204402	1.607844242	1.487312729	1.739413844	1.425578871	1.92667008	1.857007387	1.656959265	1.121030012	1.120825467	1.499481124	1.091513335	1.144824311	1.483668032	1.236482915	1.010516386	1.063361343	0.812348387	0.940038501	2.017017527	1.954891469	1.464863887	1.850457175	1.839248163	1.788567008	1.229406538	1.360533479	1.242353192
m_234	2.052371539	2.104961989	2.024139382	1.940566293	1.692841103	1.994964568	2.040936078	2.250867374	2.10606407	1.738206164	1.820230991	1.908659596	1.923824988	2.099748039	1.828043303	1.870217552	2.248684861	1.433975	1.735590731	2.143022184	2.151062698	1.817879088	1.91547222	1.635936028	2.061820689	1.770542539	2.153521696	1.495005812	1.910498389	2.185991731	2.144109882	2.182544192	1.982971831	2.315651147	2.173805446	2.031727046	1.469140708	2.033851628	2.033586725	2.163942396	2.275929633	2.135909792	1.949289162	1.990041146	2.173164667	2.12563205	1.978014937	2.386323238
m_240	0.013282803	0.23809272	0.05362344	-0.00407954	-0.102098375	0.316065722	0.87810313	0.093653011	-0.105562315	0.107660938	2.570026421	-0.251812846	-0.414322909	0.071041316	0.341491776	1.131061423	0.73287489	-1.23186361	-0.07332637	0.89665192	0.532685991	0.244776577	0.058321993	-0.260130936	0.275214748	-0.521899445	0.549761399	-1.289088499	0.194221915	0.817549026	0.580626409	0.883253614	0.770476833	0.532426484	0.020855831	0.28399977	1.493060759	0.50260224	0.554721268	0.134875138	0.390615548	0.55793452	-0.011640045	-0.027795525	-0.739045051	3.143281962	0.058041683	1.131638219
m_244	0.613804319	0.65997791	0.742635063	0.551662919	0.7802284	0.775915284	0.590839492	0.736536117	0.750917215	0.780233708	0.82973053	1.228788022	0.896164645	1.03513174	0.970251684	0.759581481	0.731816698	0.719529064	1.051962066	1.082557415	1.275103213	0.782086854	0.982708568	0.935140229	1.094671438	1.114951396	1.363160178	0.852885527	1.103163776	0.884342471	0.530092412	0.868310696	0.734016044	0.72246449	0.66684716	0.717057642	0.873776448	0.670159532	0.819447742	1.128095675	0.545233735	0.689206563	1.137101991	1.745801122	0.76207564	0.683115364	1.094506129	0.956945724
