	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000048	0	0	0	0	0	0	2.726390393	0	0	0	4.177440834	0	0	0	0	0	0	0	0	1.88008409	0	1.941447818	0	0	0	0	0	0	0	0	0	0	0	3.983204757	0	0	0	0	0	0	0	0	0	0	0	4.669278787	0	0	0	0	0	0	0	0	4.846883286	0	0	0	0	0	0	0	5.007870932	0	0	0	0	0	0	0
Otu000203	0	0	3.043760386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3831893	0	3.076378531	5.614709844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu000263	0	0	0	2.838719093	0	0	0	0	0	0	0	0	0	0	0	2.615464589	0	0	0	2.669464565	0	0	0	0	2.955453561	0	0	0	0	0	0	2.981222793	0	0	0	0	0	0	2.543723003	0	4.120471603	3.294337355	0	0	0	0	0	0	0	3.734188509	0	2.804884553	2.238013991	3.169925001	0	0	0	3.797347749	0	0	2.606219179	0	0	0	0	0	0	4.861467873	0	1.941447818
Otu000369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.205448658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.603171299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.527134005	0	0
Otu000402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88008409	0	2.740240726	0	0	0	0	0	0	0	0	0	0	0	0	8.037174869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.070389328	0	0	0	0	0	0	1.82559404	0	1.764720469	0	0	0	2.184629194	0	0	0
Otu000470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.176784783	0	3.251374815	0	0	0	0	0	0	0	2.963977331	0	0	0	0	0	0	0	0	3.414383957	0	0	0	0	3.732820767	0	3.598259323	0	0	0	0	0	0	4.291851102	2.070389328	0	0	0	0	0	0	2.606219179	0	0	0	0	0	3.540808171	4.675895148	0	0
Otu000938	0	0	0	0	4.034269902	0	0	0	0	0	5.585219368	3.569195185	0	0	0	0	0	0	0	0	0	0	2.804884553	0	0	5.423449347	0	0	0	0	0	0	0	0	0	3.211707326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.603155617	0	0	0	0	0	5.133025419
Otu000266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.859324912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.434371046	0	0	0	3.598259323	0	0	3.277337944	2.838719093	2.930267379	0	2.238013991	4.817623258	0	4.312369266	0	0	0	0	0	0	0	0	0	2.827323338	2.184629194	0	0	0
Otu000312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.425714633	0	0	0	0	0	0	0	0	0	3.786596362	0	0	0	0	0	0	0	0	0	0	0	5.232099142	0	5.83643799	0	0
Otu000358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.551375813	0	3.251374815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.537434131	0	0	0	4.034269902	0	0	0	1.378511623	0	0	0	0	0	0	0	0	4.774992415	0	0	0	0	2.172734535	0	0
