sample_id	KMV_362	KMV_364	KMV_370	KMV_372	KMV_373	KMV_375	KMV_377	KMV_380	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_401	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_415	KMV_416	KMV_417	KMV_418	KMV_421	KMV_424	KMV_425	KMV_428	KMV_429	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_456	KMV_457
outcome	susceptible	susceptible	susceptible	susceptible	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	susceptible	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	susceptible	resistant	susceptible	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	resistant
m_234	310297061	325108724	279230192	204744228	153557337	218482213	243848943	117112768	293308913	98851673	110970574	147614434	212681580	276967840	181909191	123633923	369388764	52764814	117476304	254807039	372541052	142764366	243087103	106302598	241944927	141281225	236672545	69278816	200002564	286034729	250100924	293229216	205180039	352614261	282505301	223053042	110176154	178407759	204543475	309397972	571896021	232919738	221755147	177017103	465247983	267760849	241868082	521901603
m_235	2843987	1716328	1085490							9957200	2031245					2754228					2887361	3058107	3970679		1363908															3205176			2136040					
m_240	2835887	4417325	2988453	2325765	2462244	4576329	16760537	815436	1801768	2314402	623739521	1020132	976297	2592523	5933393	22541433	11263509		1824035	14449112	8970103	3815200	3377627	1350445	3954673	720514	5893694		3843785	12245487	6833321	14720300	12578826	5808650	1986447	3987318	116414656	5250061	6790788	2893678	7447371	6155042	2426300	1698942	569475	2788669126	2908073	29033782
m_241	506265	424407		218094				60306	276811							333778	556295			425570	285255				241769	58214		381608				91044	222512		63950	151579				489401	2988166		315044		359225	236261		531328
m_244	11303435	11669293	14603537	8361964	18778369	13193706	8650163	3583216	12947276	10889591	11342463	30850148	19955818	23867836	25238470	9583002	11236098	10183533	24340058	22169028	49569513	13147028	28379077	21171327	26095599	31224343	38351854	15793565	31167427	14281358	6082720	14222428	11565897	8997321	8791608	10807836	27971989	7721855	12492422	28488576	10632152	8327278	34173270	100873062	18054916	9665635	31627856	19418296
m_247	503567	2256021	760521					500329			542748	262420	278525		246912	1146633	866777		146346	1041307	2616903	953698	958089		1968682		1240071		266362	370706		356795		683203	426452					2600587			226715	689939		192749		191297
m_249	1852231	375004	125886	367165	3945437	306390	236697	55469	2529600	527911	1276322	4758314	1049158	495358	2312377	225275	130826	1000395	3877301	72090	1520614	1082293	1661446	1392688	1123604	2283422	556116	3020154	160829	111658	143061		350452	317367	1074157	308480	1846956	76126	270460	344802	1705567	174576	1337730	1383091	12712812	116566	970039	155550
m_250	582710	423068	820785	360697	478544	235303	107496	82435	261114	207569	261301	1338366	173595	176726	325981	234511	212082	231723	712944	204329	444325	459200	680143	774918	359911	256289	324478	784345	389313	152932	133536	155118	220421	376063	181992	149553	2105068	420182	188181	1293653	175536	238563	667017	233047	327430	152934	202973	233512
m_251		361991	168506	280817		67325	330903		242978	107205	62129		135527	326110			242799			145712	164993	139959	118531		255469	57902	67566		243726	429310	599697	315873	381303	259195	205616	780477		332244	576207			384321		189433		191909	248799	753979
m_252	19282007	131233068	80840467	182022712	51743530	98898180	95020994	28088131	103078394	22667252	52014408	3101010380	34950525	85063681	104140187	46713958	209949859	23661062	43411977	146908576	79096069	62510733	54548050	633324784	71029953	24437379	61413798	15498294	113352030	135780641	89442677	277081209	279533871	61801480	160345966	101131914	319568399	149272948	179717718	215104613	3488746808	102388657	259425316	32116515	5547643842	152598423	105658888	277224191
