otu_id	KMV_375MS_1	KMV_375MS_2	KMV_375MS_3	KMV_375MS_4	KMV_400FS_1	KMV_400FS_2	KMV_400FS_3	KMV_400FS_4	KMV_404MA_1	KMV_404MA_2	KMV_404MA_3	KMV_404MA_4	KMV_415FS_1	KMV_415FS_2	KMV_415FS_3	KMV_415FS_4	KMV_417FA_1	KMV_417FA_2	KMV_417FA_3	KMV_417FA_4	KMV_446MS_1	KMV_446MS_2	KMV_446MS_3	KMV_446MS_4	KMV_450FA_1	KMV_450FA_2	KMV_450FA_3	KMV_450FA_4	KMV_452MA_1	KMV_452MA_2	KMV_452MA_3	KMV_452MA_4
fe98b8f378c63676ae7c9d47eb6523dd	0	0	0	0	0	0	0	0	248	318	0	151	0	0	0	0	311	302	307	140	0	0	0	0	0	0	0	0	0	0	0	0
b44032afd4c8b91a89813a07b977d236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	424	470	425	0	0	0	0	0	0	0	0	0	0	0	0
501de51b7e70a03a43b7fe330fc8a117	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	68	36	107	0	296	0	180
e5785744010ba1b0e1f511addac90ddd	0	0	0	0	0	0	0	62	0	269	0	0	118	0	151	164	50	106	93	54	0	0	0	0	165	121	174	101	0	0	0	0
21abd3142638ac52f751474a68ce206b	0	0	0	0	86	92	84	70	0	0	0	0	0	0	0	0	237	148	221	181	130	141	85	72	0	0	0	0	0	0	0	0
983c3081277e22ed97635885ba4b862d	60	51	52	49	53	48	0	0	64	51	69	54	89	95	77	80	0	133	110	0	0	0	0	0	45	43	55	25	67	50	0	66
380e0c83b3ec1152cc59a3b1051e52c9	0	0	0	0	0	0	0	0	0	0	0	0	308	264	413	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9a2f14a44d8d21f1dbc6c4d988e3bbd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	316	88	649	0	0	0	0	0	0	0	0
8e401411130a847ed3897647d5567a8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	282	631	0	302	0	0	0	0	0	0	0	0	0	0
3a418660a05786a3fcd8e267ef97b4a3	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1253	0	0	0	0	0	0	0	0	0
66e7c6246c9987647f9e13a4d23c1471	0	0	0	0	0	0	0	0	793	295	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75e06a7fc45a7fd5875c55536d57aaf0	159	506	0	278	0	0	0	0	0	0	0	0	69	65	121	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52f8b218ea34c39c61998006b992b0bc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	527	290	0	0	0	0	0	0	0	0	0
0326c7c10a378184d217b75f1d0fa6fa	0	0	0	0	0	32	0	58	0	0	0	0	75	56	86	74	76	118	129	85	0	0	0	0	109	126	132	74	0	0	0	0
6c796037cc828a12975b8847551ba55f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	497	349
5b7824ca5eb09a8a475f133b62e20291	0	0	0	0	0	0	0	0	0	0	0	0	338	213	421	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8876a3d2793a38c730218483ad26f7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	48	0	0	0	0	274	459	85	158	0	0	0	0
5d9c6ddc383e591f8dcbb6d4f73bda03	726	130	94	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178839fb05786c6cad3a735a7345061a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	319	307	95	0	0	0	0	0	0	0	0
11310607abe72cef4e15e724a8e1cb09	0	0	0	0	0	0	0	0	275	0	262	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79e446a1c24467ad41e6d448786c29e8	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e3b01e010937593c4c6b307c0905a68	616	0	0	0	0	0	0	0	0	0	0	0	76	109	58	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149a6ae5f00f51c83e3a9692e02b46c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	205	334	0	0	0	0	0	0	0	0	0
d5ee76611e8b13405da2fb0efe1b9af6	86	0	0	0	0	71	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	89	65	78	0	0	0	398	0
5171e514f677d8a880731699064e8262	0	160	219	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0
d4acb4cf725e0e0773d19721cbc44c32	0	0	0	0	213	222	231	172	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0
088af919fd79d97111b0277dafb2d77a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892	0	0	0
8f4521a70ac7f3a54f552fa5a4bc1f6d	0	0	0	0	0	0	0	0	215	0	213	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0
689b5f0fab5737ab5da48847cfab672a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	255	41	185	0	0	0	0	0	0	0	0
f04da9b1117c66ce512c2addf2be084b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	62	0	0	0	0	0	181	192	180	163	0	0	0	0
adf9c4aafabd09a07199e7ade86b5f4c	0	0	0	0	0	0	0	0	0	0	0	0	232	165	200	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dfd1820143ae6c981b92dfd5bffefefb	0	0	0	0	0	0	0	0	0	43	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0
ff87c3b07981e8d0ffbbde15459e2fae	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	60	0	0	0	0	0	0	0	0	73	0	0	357	0
35c9b4154bf4443802a3d6f7b8a5a13b	0	0	0	0	0	0	0	0	282	0	215	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04d1c9e0e381b9dcc092f167293ef6c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	162	398	95	0	0	0	0	0	0	0	0	0	0	0	0
1049aba99c67838033a1b70b24c695d8	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0
753fe378c0f6132423ff163b35927aa5	0	0	0	0	188	200	196	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
